postcode,lat,lon
3268,142.932,38.5276
3269,143.168,38.6642
3270,142.87,38.6055
3271,143.02,37.8827
3272,142.822,37.9661
3273,142.651,38.0081
3274,142.512,37.9853
3275,142.472,38.2908
3276,142.464,38.1682
3277,142.667,38.4113
3278,142.644,38.289
3279,142.609,38.3126
3280,142.484,38.3744
3281,142.637,38.2361
3282,142.362,38.2974
3283,142.298,38.2549
3284,142.125,38.2631
3285,141.728,38.2191
3286,141.991,38.0439
3287,142.248,38.0549
3289,142.23,37.8945
3292,141.08,38.048
3293,142.53,37.6464
3294,142.315,37.5625
3300,141.977,37.7481
3301,142.032,38.1167
3302,141.732,37.8551
3303,141.794,37.9888
3304,141.369,37.9974
3305,141.433,38.2553
3309,141.508,37.818
3310,141.58,37.7164
3311,141.283,37.4702
3312,141.438,37.4252
3314,142.098,37.4342
3315,141.708,37.4512
3317,141.588,37.1656
3318,141.276,37.0243
3319,141.099,36.8852
3321,143.946,38.0788
3322,143.706,38.024
3323,143.525,38.0158
3324,143.369,37.9451
3325,143.192,37.9085
3328,144.051,38.0173
3329,143.938,37.99
3330,143.755,37.9165
3331,144.179,37.9709
3332,144.097,37.9645
3333,144.024,37.8882
3334,144.048,37.7325
3335,144.686,37.7071
3337,144.588,37.6356
3338,144.554,37.7648
3340,144.405,37.7105
3341,144.323,37.577
3342,144.238,37.6522
3345,144.11,37.5888
3350,143.857,37.5827
3351,143.586,37.7616
3352,143.993,37.5946
3353,143.857,37.5827
3354,143.857,37.5827
3355,143.825,37.5352
3356,143.827,37.5967
3357,143.882,37.6525
3360,143.516,37.7808
3361,143.342,37.7323
3363,143.89,37.4209
3364,143.92,37.2816
3370,143.829,37.2414
3371,143.644,37.226
3373,143.317,37.4679
3375,143.161,37.4178
3377,142.961,37.3251
3378,142.982,37.5316
3379,142.69,37.6146
3380,142.772,37.0637
3381,142.817,36.9854
3384,143.132,37.0034
3385,142.646,36.9032
3387,142.866,36.6671
3388,142.702,36.5789
3390,142.484,36.5866
3391,142.459,36.0919
3392,142.692,36.4356
3393,142.348,36.2512
3395,142.438,35.9113
3396,142.315,35.6564
3399,142.357,36.6092
3400,142.208,36.718
3401,141.971,36.8042
3402,142.208,36.718
3407,141.91,37.2573
3409,141.89,36.6548
3412,141.272,36.7525
3413,141.208,36.6969
3414,142.049,36.3802
3415,141.34,36.3539
3418,141.632,35.9936
3419,141.207,36.1169
3420,141.026,36.4202
3422,142.025,36.2234
3423,141.963,36.0835
3424,141.942,35.7145
3427,144.707,37.6372
3428,144.804,37.6008
3429,144.715,37.5559
3430,144.813,37.5026
3431,144.691,37.4721
3432,144.814,37.4566
3433,144.785,37.4056
3434,144.75,37.3726
3435,144.724,37.2244
3437,144.513,37.4943
3438,144.596,37.4517
3440,144.544,37.4052
3441,144.603,37.4004
3442,144.562,37.3324
3444,144.482,37.1513
3446,144.379,37.1872
3447,144.304,37.1612
3448,144.382,37.0725
3450,144.218,37.0622
3451,144.203,37.1128
3453,144.267,36.9369
3458,144.31,37.411
3460,144.142,37.3485
3461,144.203,37.3263
3462,144.04,37.0805
3463,144.021,36.9229
3464,143.838,37.0187
3465,143.655,37.0222
3467,143.378,37.1342
3468,143.385,37.2405
3469,143.271,37.1938
3472,143.727,36.8241
3475,143.561,36.7327
3478,143.209,36.6649
3480,142.92,36.3057
3482,142.792,36.1466
3483,142.888,35.9103
3485,142.678,35.6997
3487,142.609,35.4798
3488,142.444,35.4427
3489,142.438,35.33
3490,142.157,34.9978
3491,142.191,35.4124
3494,142.36,34.4785
3496,141.716,34.5409
3498,142.172,34.2363
3500,142.969,33.8327
3501,142.148,34.2211
3502,142.969,33.8327
3505,142.003,34.1787
3506,141.406,35.2233
3507,142.05,35.1345
3509,141.705,35.1429
3512,141.16,35.374
3515,144.061,36.7283
3516,143.992,36.6119
3517,143.901,36.4346
3518,143.641,36.4303
3520,143.708,36.3549
3521,144.904,37.0928
3522,144.786,37.0502
3523,144.74,36.8295
3525,143.423,36.2914
3527,143.305,36.0341
3529,143.206,35.8345
3530,143.154,35.7342
3531,142.944,35.6235
3533,142.84,35.383
3537,143.761,36.0928
3540,143.457,35.896
3542,143.403,35.7015
3544,143.16,35.4937
3546,142.88,35.0678
3549,142.878,34.7233
3550,144.284,36.7631
3551,144.49,36.7701
3552,144.284,36.7631
3554,144.284,36.7631
3555,144.246,36.791
3556,144.187,36.6644
3557,144.612,36.6246
3558,144.57,36.4878
3559,144.776,36.5427
3561,144.714,36.3183
3562,144.483,36.0344
3563,144.521,36.2623
